,,,,,,,
,AcX,AcY,AcZ,Tmp,GyX,GyY,GyZ
,16752,124,1644,26.41,-238,-113,-22
,16848,216,1660,26.41,-216,-125,-37
,16780,156,1640,26.46,-215,-104,-20
,16900,244,1616,26.32,-223,-122,-4
,16864,252,1644,26.46,-241,-140,-14
,16992,216,1696,26.41,-218,-122,-26
,16844,124,1604,26.41,-217,-121,-20
,16996,236,1428,26.37,-240,-104,-22
,16948,72,1696,26.41,-200,-135,-27
,16900,180,1564,26.46,-231,-133,-24
,16808,128,1704,26.41,-222,-131,-18
,16940,176,1676,26.37,-216,-120,-20
,16968,252,1620,26.46,-214,-131,-38
,16888,260,1812,26.41,-237,-135,-35
,16992,188,1528,26.46,-214,-92,-5
,16912,156,1752,26.41,-219,-125,-41
,16880,156,1712,26.41,-231,-124,-39
,16768,152,1640,26.41,-241,-136,-25
,16776,168,1684,26.37,-212,-133,-22
,16808,200,1608,26.51,-233,-112,-20
,17004,120,1692,26.46,-230,-125,-22
,16888,168,1552,26.51,-221,-119,-35
,16676,220,1696,26.46,-241,-132,-39
,16872,308,1596,26.51,-215,-130,-34
,16952,148,1644,26.51,-226,-114,-35
,16916,220,1764,26.51,-230,-128,-24
,16836,228,1652,26.37,-220,-125,-37
,16856,144,1664,26.46,-217,-118,-12
,16812,164,1508,26.51,-222,-123,-20
,16816,132,1812,26.46,-217,-133,-19
,16808,40,1684,26.46,-230,-123,-34
,16836,212,1688,26.41,-200,-139,-20
,16832,196,1752,26.51,-219,-118,-8
,16860,208,1616,26.46,-227,-113,-19
,16744,92,1668,26.46,-213,-111,-13
,16672,212,1608,26.41,-215,-122,-30
,16836,236,1528,26.41,-230,-144,-22
,16780,216,1448,26.46,-211,-116,-29
,16936,192,1724,26.37,-203,-122,-14
,16716,204,1652,26.51,-211,-113,-23
,16964,160,1712,26.51,-236,-125,-22
,16764,168,1664,26.37,-206,-114,-43
,16848,188,1492,26.41,-215,-113,-38
,16708,164,1520,26.46,-215,-118,-21
,16904,132,1740,26.46,-223,-124,-31
,16952,224,1616,26.55,-220,-117,-9
,16888,136,1528,26.41,-227,-126,-22
,16988,184,1676,26.55,-205,-124,-29
,16828,132,1704,26.41,-231,-120,-27
,16724,140,1592,26.41,-205,-123,-22
,16996,192,1668,26.46,-222,-105,-38
,16984,184,1712,26.51,-246,-123,-39
,16772,124,1700,26.51,-221,-113,-41
,16796,228,1584,26.37,-232,-136,-33
,16908,228,1556,26.6,-241,-123,-35
,16980,264,1592,26.51,-214,-120,-24
,17000,188,1660,26.55,-247,-99,-15
,16988,244,1608,26.41,-206,-122,-27
,16804,48,1500,26.51,-196,-124,-15
,16892,92,1652,26.51,-219,-118,-24
,16720,104,1688,26.51,-229,-126,-30
,16832,136,1572,26.51,-237,-123,-37
,16908,140,1640,26.46,-228,-114,-24
,16872,228,1668,26.51,-221,-145,-26
,16860,168,1700,26.46,-218,-135,-28
,16712,240,1700,26.6,-240,-116,-40
,16932,180,1684,26.55,-224,-122,-37
,16756,144,1500,26.41,-237,-102,-13
,16948,176,1588,26.51,-211,-138,-5
,16864,168,1612,26.55,-240,-127,-41
,16836,184,1500,26.51,-226,-121,-16
,16908,180,1684,26.55,-217,-128,-18
,16888,132,1640,26.46,-222,-125,-40
,16820,152,1792,26.6,-220,-133,-28
,16772,108,1640,26.51,-234,-124,-40
,16876,288,1632,26.51,-223,-121,-21
,16836,144,1704,26.55,-220,-115,-31
,16976,268,1732,26.6,-214,-100,-27
,16844,60,1776,26.6,-225,-127,-27
,16820,188,1720,26.41,-233,-116,-25
,16796,172,1544,26.46,-220,-122,-13
,16968,172,1492,26.55,-231,-130,-32
,17076,240,1648,26.6,-221,-123,-13
,16888,196,1728,26.51,-235,-110,-31
,16836,196,1640,26.6,-219,-106,-28
,16844,136,1656,26.46,-214,-130,-23
,17032,200,1692,26.55,-224,-121,-24
,16840,232,1720,26.6,-201,-110,-40
,16988,200,1640,26.51,-232,-113,-25
,16884,248,1588,26.51,-222,-132,-19
,17000,244,1736,26.6,-212,-131,-17
,16904,292,1668,26.46,-233,-102,-28
,16892,96,1548,26.55,-230,-118,5
,16996,268,1748,26.55,-218,-146,-16
,16912,220,1580,26.55,-236,-90,-10
,16900,292,1632,26.55,-224,-127,-23
,16852,112,1580,26.65,-191,-126,-27
,17000,264,1512,26.6,-189,-121,-40
,16960,208,1708,26.6,-230,-137,-25
,16920,224,1676,26.6,-225,-109,-44
,16908,180,1692,26.6,-223,-135,-35
,16964,184,1676,26.65,-206,-114,-36
,16936,204,1604,26.51,-228,-117,-35
,16980,228,1696,26.55,-238,-126,-21
,16836,104,1612,26.6,-208,-137,-18
,16852,128,1728,26.51,-213,-110,-29
,17056,264,1624,26.6,-222,-119,-22
,16900,104,1756,26.6,-224,-139,-18
,16896,176,1568,26.6,-230,-120,-21
,16968,192,1472,26.6,-205,-117,-23
,16700,200,1472,26.51,-231,-128,-32
,16740,112,1692,26.51,-223,-125,-23
,17084,332,1728,26.6,-224,-122,-20
,16968,136,1636,26.6,-222,-136,-28
,16968,176,1648,26.6,-207,-119,-11
,16908,252,1664,26.55,-203,-106,-53
,16820,252,1692,26.6,-224,-125,-32
,16700,56,1668,26.51,-230,-107,-23
,16904,268,1648,26.6,-205,-99,-32
,16864,144,1536,26.69,-233,-123,-37
,16840,124,1644,26.51,-226,-110,-31
,17056,272,1588,26.55,-192,-117,-34
,16720,192,1644,26.55,-208,-127,-36
,16844,248,1520,26.55,-219,-119,1
,16860,92,1652,26.55,-221,-120,-31
,16928,244,1692,26.6,-202,-121,-11
,16892,184,1500,26.6,-214,-125,-31
,16972,212,1660,26.6,-234,-120,-28
,16920,220,1640,26.55,-206,-108,-24
,16880,308,1752,26.55,-234,-145,-14
,16932,136,1640,26.6,-206,-113,-19
,16892,216,1736,26.6,-211,-117,-18
,16928,196,1608,26.6,-229,-134,-30
,16864,100,1520,26.69,-218,-114,-20
,17032,204,1680,26.69,-225,-112,-14
,16824,208,1740,26.6,-227,-113,-24
,16888,276,1580,26.6,-219,-129,-14
,16820,140,1628,26.65,-223,-118,-22
,17004,196,1696,26.69,-224,-121,-22
,16960,256,1640,26.69,-229,-127,-28
,16900,84,1620,26.55,-225,-109,-20
,16892,248,1672,26.6,-222,-108,-42
,16752,172,1604,26.55,-223,-140,-13
,17040,208,1592,26.65,-207,-110,-19
,16764,124,1676,26.74,-221,-116,-25
,16924,252,1668,26.65,-214,-127,-35
,16936,180,1648,26.65,-204,-128,-30
,17048,196,1740,26.6,-237,-105,-26
,16840,132,1724,26.6,-216,-135,-36
,16996,148,1716,26.69,-207,-114,-24
,16980,112,1732,26.6,-210,-111,-10
,16708,100,1748,26.6,-197,-134,-22
,17020,148,1800,26.69,-230,-134,-30
,16988,332,1528,26.6,-234,-131,-25
,17052,228,1656,26.6,-233,-115,-23
,16852,52,1692,26.6,-231,-94,-44
,16904,248,1420,26.65,-245,-118,-9
,16964,160,1672,26.46,-226,-134,-52
,17240,320,1596,26.69,-220,-130,-15
,17136,240,1632,26.65,-216,-118,-13
,16668,92,1692,26.65,-224,-131,-29
,17156,280,1736,26.65,-225,-131,-14
,16860,64,1524,26.55,-224,-106,-36
,16728,144,1620,26.65,-214,-126,-31
,16692,176,1572,26.69,-243,-113,-19
,16752,116,1580,26.6,-233,-132,-36
,16796,172,1480,26.69,-224,-135,-34
,16632,188,1608,26.65,-225,-113,-26
,17004,264,1516,26.6,-215,-133,-20
,16752,132,1600,26.69,-228,-125,-38
,16912,264,1552,26.55,-232,-126,-10
,16752,188,1568,26.6,-225,-114,-34
,16924,308,1632,26.65,-216,-111,-36
,16740,280,1572,26.65,-211,-105,-28
,16796,220,1708,26.6,-213,-143,-32
,17076,232,1616,26.69,-220,-126,-35
